,region_no,region,year,month,sal_base,sal_fallX2_hi,sal_fallX2_low,sal_sumX2_hi,sal_sumX2_low,sal_SMSCG,sal_sumX2_WAN_low,sal_sumX2_WAN_1,sal_sumX2_WAN_2,sal_sumX2_WAN_3,sal_sumX2_WAN_high,sal_fallX2_WAN_low,sal_fallX2_WAN_1,sal_fallX2_WAN_2,sal_fallX2_WAN_3,sal_fallX2_WAN_high
1,1,Yolo Bypass,1995,1,0.106635915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1,Yolo Bypass,1995,2,0.740325812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,1,Yolo Bypass,1995,3,0.678630481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,Yolo Bypass,1995,4,0.192367103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,Yolo Bypass,1995,5,0.073061462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,Yolo Bypass,1995,6,0.110497084,NA,NA,0.133517859,0.120854145,NA,0.120854145,0.124344517,0.127330041,0.130387248,0.133517859,NA,NA,NA,NA,NA
7,1,Yolo Bypass,1995,7,0.070157202,NA,NA,0.152133954,0.124643757,NA,0.124643757,0.131947361,0.138359566,0.145083382,0.152133954,NA,NA,NA,NA,NA
8,1,Yolo Bypass,1995,8,0.085973099,0.132549296,0.121006623,0.145344666,0.122520445,NA,0.122520445,0.128474533,0.133445469,0.139930476,0.145344666,0.121006623,0.130421723,0.134188415,0.136112361,0.132549296
9,1,Yolo Bypass,1995,9,0.067283899,0.159181321,0.132664748,0.146059203,0.134101508,NA,0.134101508,0.137321298,0.139952704,0.143312983,0.146059203,0.132664748,0.140705169,0.148949905,0.153251706,0.159181321
10,1,Yolo Bypass,1995,10,0.068241609,0.166570883,0.142561833,NA,NA,NA,NA,NA,NA,NA,NA,0.142561833,0.148641039,0.154392258,0.160366002,0.166570883
11,1,Yolo Bypass,1995,11,0.080218654,0.192362272,0.177959833,NA,NA,NA,NA,NA,NA,NA,NA,0.177959833,0.181714557,0.185196644,0.188745456,0.192362272
12,1,Yolo Bypass,1995,12,0.134718946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1,Yolo Bypass,1996,1,0.164270639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1,Yolo Bypass,1996,2,0.155020643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1,Yolo Bypass,1996,3,0.167683133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1,Yolo Bypass,1996,4,0.10904808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1,Yolo Bypass,1996,5,0.090316177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1,Yolo Bypass,1996,6,0.071834088,NA,NA,0.140472217,0.127148905,NA,0.127148905,0.130821075,0.133962102,0.137178546,0.140472217,NA,NA,NA,NA,NA
19,1,Yolo Bypass,1996,7,0.068002579,NA,NA,0.152133954,0.124643757,NA,0.124643757,0.131947361,0.138359566,0.145083382,0.152133954,NA,NA,NA,NA,NA
20,1,Yolo Bypass,1996,8,0.073030967,0.14105047,0.128767497,0.145344666,0.122520445,NA,0.122520445,0.128474533,0.133445469,0.139930476,0.145344666,0.128767497,0.134245736,0.138122868,0.140103225,0.14105047
21,1,Yolo Bypass,1996,9,0.097016117,0.159181321,0.132664748,0.155279409,0.142566866,NA,0.142566866,0.145989911,0.148787427,0.152359829,0.155279409,0.132664748,0.140705169,0.148949905,0.153251706,0.159181321
22,1,Yolo Bypass,1996,10,0.093172831,0.166570883,0.142561833,NA,NA,NA,NA,NA,NA,NA,NA,0.142561833,0.148641039,0.154392258,0.160366002,0.166570883
23,1,Yolo Bypass,1996,11,0.114826761,0.187211209,0.173194437,NA,NA,NA,NA,NA,NA,NA,NA,0.173194437,0.176848618,0.180237461,0.183691244,0.187211209
24,1,Yolo Bypass,1996,12,0.078301415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,1,Yolo Bypass,1997,1,0.158321605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,1,Yolo Bypass,1997,2,0.118685974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,1,Yolo Bypass,1997,3,0.124480601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,1,Yolo Bypass,1997,4,0.10591428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,1,Yolo Bypass,1997,5,0.106166285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,1,Yolo Bypass,1997,6,0.088139376,NA,NA,0.148625703,0.134529061,NA,0.134529061,0.138414376,0.141737719,0.145140856,0.148625703,NA,NA,NA,NA,NA
31,1,Yolo Bypass,1997,7,0.408672082,NA,NA,0.152133954,0.124643757,NA,0.124643757,0.131947361,0.138359566,0.145083382,0.152133954,NA,NA,NA,NA,NA
32,1,Yolo Bypass,1997,8,0.069199365,0.143032072,0.130576537,0.145344666,0.122520445,NA,0.122520445,0.128474533,0.133445469,0.139930476,0.145344666,0.130576537,0.134545476,0.138431265,0.140416044,0.143032072
33,1,Yolo Bypass,1997,9,0.103748165,0.159181321,0.132664748,0.156366356,0.143564826,NA,0.143564826,0.147011832,0.149828931,0.153426339,0.156366356,0.132664748,0.140705169,0.148949905,0.153251706,0.159181321
34,1,Yolo Bypass,1997,10,0.101823875,0.166570883,0.142561833,NA,NA,NA,NA,NA,NA,NA,NA,0.142561833,0.148641039,0.154392258,0.160366002,0.166570883
35,1,Yolo Bypass,1997,11,0.092212396,0.193341465,0.178865712,NA,NA,NA,NA,NA,NA,NA,NA,0.178865712,0.18263955,0.186139362,0.189706239,0.193341465
36,1,Yolo Bypass,1997,12,0.132217831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,1,Yolo Bypass,1998,1,0.137060114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,1,Yolo Bypass,1998,2,0.166109715,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,1,Yolo Bypass,1998,3,0.121582408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,1,Yolo Bypass,1998,4,0.165028098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,1,Yolo Bypass,1998,5,0.101124688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,1,Yolo Bypass,1998,6,0.126814226,NA,NA,0.135663748,NA,NA,NA,0.126342972,0.12937648,0.132482822,0.135663748,NA,NA,NA,NA,NA
43,1,Yolo Bypass,1998,7,0.120465803,NA,NA,0.152133954,NA,NA,NA,0.131947361,0.138359566,0.145083382,0.152133954,NA,NA,NA,NA,NA
44,1,Yolo Bypass,1998,8,0.147791085,0.130818413,NA,0.145344666,NA,NA,NA,0.128474533,0.133445469,0.139930476,0.145344666,NA,0.127321409,0.130998561,0.132876772,0.130818413
45,1,Yolo Bypass,1998,9,0.118203404,0.159181321,NA,0.145872188,NA,NA,NA,0.137145472,0.139773508,0.143129484,0.145872188,NA,0.140705169,0.148949905,0.153251706,0.159181321
