water_year,All taxa,Acartia Adult,Acartiella sinensis Adult,Daphnia Adult,Diaphanosoma Adult,Eurytemora affinis Adult,Eurytemora affinis Juvenile,Limnoithona tetraspina Adult,Neomysis mercedis Adult,Pseudodiaptomus forbesi Adult,Pseudodiaptomus Juvenile,Tortanus Adult,Hyperacanthomysis longirostris Adult,Neomysis kadiakensis Adult
1975,49458.3598,1539.537774,NA,10216.37028,476.7757331,9633.601838,NA,NA,30293.48623,NA,NA,NA,NA,NA
1976,64868.39042,12455.65271,NA,6328.937928,271.5406688,7507.761374,NA,NA,48129.96391,NA,NA,NA,NA,NA
1977,34043.31547,24157.97049,NA,1773.368602,475.8459953,6478.985062,NA,NA,4108.742151,NA,NA,NA,NA,NA
1978,47104.54653,6033.927021,NA,2357.340833,279.9784922,14563.36079,NA,NA,25148.37292,NA,NA,NA,NA,NA
1979,38555.12126,6528.581386,NA,2444.996685,131.0881244,10274.61589,NA,1.168797971,19672.83322,NA,NA,NA,NA,NA
1980,47119.205,4809.274777,NA,3905.085198,145.6870252,7878.405726,NA,201.9877516,30573.23359,NA,NA,NA,NA,NA
1981,36040.88285,9943.123379,NA,1409.08464,168.5557542,8164.697777,NA,437.1918585,20563.88511,NA,NA,NA,NA,NA
1982,38904.819,1449.038255,NA,562.0906686,61.77233315,5711.074932,NA,281.2452702,38750.39821,NA,NA,NA,NA,NA
1983,12173.52237,650.5447655,NA,750.3566528,119.6510469,1466.458644,NA,436.9611597,10216.9059,NA,NA,NA,NA,NA
1984,39748.62712,4837.466177,NA,1298.869184,231.3633749,8335.916261,NA,710.9837478,25094.70984,NA,NA,NA,NA,NA
1985,53066.294,10510.13372,NA,1928.473163,224.0210308,4579.439981,NA,528.4877204,44488.8104,NA,NA,NA,NA,NA
1986,77998.53368,4691.908002,NA,1468.505964,326.2940375,8502.029164,NA,106.3237441,70829.39459,NA,NA,NA,NA,NA
1987,32284.79598,4553.716188,NA,2271.680959,122.520759,4385.915911,NA,579.5833422,20940.59172,NA,NA,NA,NA,NA
1988,19991.07447,810.8082305,NA,1506.066265,147.5199296,1481.64676,NA,464.154409,15157.77222,2333.150845,NA,NA,NA,NA
1989,37601.71407,1580.921566,NA,1903.2775,225.9479986,2069.13466,1477.52461,182.5421711,18458.22712,15641.75291,NA,NA,NA,NA
1990,27576.1801,748.5279837,NA,902.8971466,215.9032369,1176.997838,1500.579467,189.4885415,10343.55096,9868.218379,4989.17808,NA,NA,NA
1991,30851.65941,1331.545831,NA,1570.215154,285.4326014,953.8154805,1800.553942,200.5816697,13589.65765,7414.552771,3885.279567,NA,NA,NA
1992,26509.34223,3657.916688,NA,2309.966154,380.0801921,925.8533204,997.5258922,198.8807489,3033.351336,8958.817808,6488.341205,NA,NA,NA
1993,29767.33984,625.5799991,NA,2838.529881,360.0010792,925.7199889,800.3928498,660.7961067,7677.981768,12667.9767,4779.708486,NA,5.909564691,NA
1994,40644.85492,1386.817868,2463.673804,6930.109259,1395.936481,3381.401625,3646.447505,4514.960778,993.7625132,6753.083362,8720.338819,835.2907111,10.0138832,58.02175012
1995,13390.32961,277.3913328,905.8951186,1148.620265,212.8965516,1330.85671,1275.21278,1069.990521,1152.83226,2750.434425,3460.239313,710.2438718,5.692271225,330.8477927
