# SCHISM Model Output at Beldons Landing,
# 2022 Summer-fall alternatives
# Tidally filtered with a squared cosine-Lanczos filter with 40-hour cutoff
# Units: psu
# Terms:
# bn: below normal year classification
# dry: dry year classification
# bdl: Beldons Landing
# smscg4: 4psu trigger at BDL
# smscg6: 6psu trigger at BDL
datetime,bdl_bn_noact,bdl_bn_smscg4,bdl_bn_smscg6,bdl_dry_noact
2021-12-06T00:15,,,,
2021-12-06T00:30,,,,
2021-12-06T00:45,,,,
2021-12-06T01:00,,,,
2021-12-06T01:15,,,,
2021-12-06T01:30,,,,
2021-12-06T01:45,,,,
2021-12-06T02:00,,,,
2021-12-06T02:15,,,,
2021-12-06T02:30,,,,
2021-12-06T02:45,,,,
2021-12-06T03:00,,,,
2021-12-06T03:15,,,,
2021-12-06T03:30,,,,
2021-12-06T03:45,,,,
2021-12-06T04:00,,,,
2021-12-06T04:15,,,,
2021-12-06T04:30,,,,
2021-12-06T04:45,,,,
2021-12-06T05:00,,,,
2021-12-06T05:15,,,,
2021-12-06T05:30,,,,
2021-12-06T05:45,,,,
2021-12-06T06:00,,,,
2021-12-06T06:15,,,,
2021-12-06T06:30,,,,
2021-12-06T06:45,,,,
2021-12-06T07:00,,,,
2021-12-06T07:15,,,,
2021-12-06T07:30,,,,
2021-12-06T07:45,,,,
2021-12-06T08:00,,,,
2021-12-06T08:15,,,,
2021-12-06T08:30,,,,
2021-12-06T08:45,,,,
2021-12-06T09:00,,,,
2021-12-06T09:15,,,,
2021-12-06T09:30,,,,
2021-12-06T09:45,,,,
2021-12-06T10:00,,,,
2021-12-06T10:15,,,,
2021-12-06T10:30,,,,
2021-12-06T10:45,,,,
2021-12-06T11:00,,,,
2021-12-06T11:15,,,,
2021-12-06T11:30,,,,
2021-12-06T11:45,,,,
2021-12-06T12:00,,,,
2021-12-06T12:15,,,,
2021-12-06T12:30,,,,
2021-12-06T12:45,,,,
2021-12-06T13:00,,,,
2021-12-06T13:15,,,,
2021-12-06T13:30,,,,
2021-12-06T13:45,,,,
2021-12-06T14:00,,,,
2021-12-06T14:15,,,,
2021-12-06T14:30,,,,
2021-12-06T14:45,,,,
2021-12-06T15:00,,,,
2021-12-06T15:15,,,,
2021-12-06T15:30,,,,
2021-12-06T15:45,,,,
2021-12-06T16:00,,,,
2021-12-06T16:15,,,,
2021-12-06T16:30,,,,
2021-12-06T16:45,,,,
2021-12-06T17:00,,,,
2021-12-06T17:15,,,,
2021-12-06T17:30,,,,
2021-12-06T17:45,,,,
2021-12-06T18:00,,,,
2021-12-06T18:15,,,,
2021-12-06T18:30,,,,
2021-12-06T18:45,,,,
2021-12-06T19:00,,,,
2021-12-06T19:15,,,,
2021-12-06T19:30,,,,
2021-12-06T19:45,,,,
2021-12-06T20:00,,,,
2021-12-06T20:15,,,,
2021-12-06T20:30,,,,
2021-12-06T20:45,,,,
2021-12-06T21:00,,,,
2021-12-06T21:15,,,,
2021-12-06T21:30,,,,
2021-12-06T21:45,,,,
2021-12-06T22:00,,,,
2021-12-06T22:15,,,,
2021-12-06T22:30,,,,
2021-12-06T22:45,,,,
2021-12-06T23:00,,,,
2021-12-06T23:15,,,,
2021-12-06T23:30,,,,
2021-12-06T23:45,,,,
2021-12-07T00:00,,,,
2021-12-07T00:15,,,,
2021-12-07T00:30,,,,
2021-12-07T00:45,,,,
2021-12-07T01:00,,,,
2021-12-07T01:15,,,,
2021-12-07T01:30,,,,
2021-12-07T01:45,,,,
2021-12-07T02:00,,,,
2021-12-07T02:15,,,,
2021-12-07T02:30,,,,
2021-12-07T02:45,,,,
2021-12-07T03:00,,,,
2021-12-07T03:15,,,,
2021-12-07T03:30,,,,
2021-12-07T03:45,,,,
2021-12-07T04:00,,,,
2021-12-07T04:15,,,,
2021-12-07T04:30,,,,
2021-12-07T04:45,,,,
2021-12-07T05:00,,,,
2021-12-07T05:15,,,,
2021-12-07T05:30,,,,
2021-12-07T05:45,,,,
2021-12-07T06:00,,,,
2021-12-07T06:15,,,,
2021-12-07T06:30,,,,
2021-12-07T06:45,,,,
2021-12-07T07:00,,,,
2021-12-07T07:15,,,,
2021-12-07T07:30,,,,
2021-12-07T07:45,,,,
2021-12-07T08:00,,,,
2021-12-07T08:15,,,,
2021-12-07T08:30,,,,
2021-12-07T08:45,,,,
2021-12-07T09:00,,,,
2021-12-07T09:15,,,,
2021-12-07T09:30,,,,
2021-12-07T09:45,,,,
2021-12-07T10:00,,,,
2021-12-07T10:15,,,,
2021-12-07T10:30,,,,
2021-12-07T10:45,,,,
2021-12-07T11:00,,,,
2021-12-07T11:15,,,,
2021-12-07T11:30,,,,
2021-12-07T11:45,,,,
2021-12-07T12:00,,,,
2021-12-07T12:15,,,,
2021-12-07T12:30,,,,
2021-12-07T12:45,,,,
2021-12-07T13:00,,,,
2021-12-07T13:15,,,,
2021-12-07T13:30,,,,
2021-12-07T13:45,,,,
2021-12-07T14:00,,,,
2021-12-07T14:15,,,,
2021-12-07T14:30,,,,
2021-12-07T14:45,,,,
2021-12-07T15:00,,,,
2021-12-07T15:15,,,,
2021-12-07T15:30,,,,
2021-12-07T15:45,,,,
2021-12-07T16:00,,,,
2021-12-07T16:15,,,,
2021-12-07T16:30,,,,
2021-12-07T16:45,,,,
2021-12-07T17:00,,,,
2021-12-07T17:15,,,,
2021-12-07T17:30,,,,
2021-12-07T17:45,,,,
2021-12-07T18:00,,,,
2021-12-07T18:15,,,,
2021-12-07T18:30,,,,
2021-12-07T18:45,,,,
2021-12-07T19:00,,,,
2021-12-07T19:15,,,,
2021-12-07T19:30,,,,
2021-12-07T19:45,,,,
2021-12-07T20:00,,,,
2021-12-07T20:15,,,,
2021-12-07T20:30,,,,
2021-12-07T20:45,,,,
2021-12-07T21:00,,,,
2021-12-07T21:15,,,,
2021-12-07T21:30,,,,
2021-12-07T21:45,,,,
2021-12-07T22:00,,,,
2021-12-07T22:15,,,,
2021-12-07T22:30,,,,
2021-12-07T22:45,,,,
2021-12-07T23:00,,,,
2021-12-07T23:15,,,,
2021-12-07T23:30,,,,
2021-12-07T23:45,,,,
2021-12-08T00:00,,,,
2021-12-08T00:15,,,,
2021-12-08T00:30,,,,
2021-12-08T00:45,,,,
2021-12-08T01:00,,,,
2021-12-08T01:15,,,,
2021-12-08T01:30,,,,
2021-12-08T01:45,,,,
2021-12-08T02:00,,,,
2021-12-08T02:15,,,,
2021-12-08T02:30,,,,
2021-12-08T02:45,,,,
2021-12-08T03:00,,,,
2021-12-08T03:15,,,,
2021-12-08T03:30,,,,
