Lifestage,Taxname,IBMR,Taxlifestage
Undifferentiated,Hirudinea,other,Hirudinea Undifferentiated
Adult,Annelida,other,Annelida Adult
Adult,Annelida,other,Annelida Adult
Undifferentiated,Annelida,other,Annelida Undifferentiated
Undifferentiated,Lumbricidae,other,Lumbricidae Undifferentiated
Undifferentiated,Stylaria,other,Stylaria Undifferentiated
Undifferentiated,Oligochaeta,other,Oligochaeta Undifferentiated
Undifferentiated,Polychaeta,other,Polychaeta Undifferentiated
Undifferentiated,Hediste limnicola,other,Hediste limnicola Undifferentiated
Adult,Araneae,other,Araneae Adult
Adult,Hydrachnidia,other,Hydrachnidia Adult
Adult,Bosmina longirostris,othclad,Bosmina longirostris Adult
Adult,Monospilus dispar,othclad,Monospilus dispar Adult
Adult,Ceriodaphnia,othclad,Ceriodaphnia Adult
Adult,Chydorus,othclad,Chydorus Adult
Adult,Cladocera,othclad,Cladocera Adult
Adult,Cladocera,othclad,Cladocera Adult
Adult,Daphnia,daphnia,Daphnia Adult
Adult,Diaphanosoma,othclad,Diaphanosoma Adult
Adult,Holopedium,othclad,Holopedium Adult
Adult,Ilyocryptus,othclad,Ilyocryptus Adult
Adult,Latona,othclad,Latona Adult
Adult,Macrothricidae,othclad,Macrothricidae Adult
Adult,Moina,othclad,Moina Adult
Adult,Scapholeberis,othclad,Scapholeberis Adult
Adult,Sida,othclad,Sida Adult
Adult,Simocephalus,othclad,Simocephalus Adult
Juvenile,Daphnia,daphnia,Daphnia Juvenile
Larva,Cladocera,othclad,Cladocera Larva
Undifferentiated,Alona,othclad,Alona Undifferentiated
Undifferentiated,Alonella,othclad,Alonella Undifferentiated
Undifferentiated,Ceriodaphnia,othclad,Ceriodaphnia Undifferentiated
Undifferentiated,Chydorus,othclad,Chydorus Undifferentiated
Undifferentiated,Cladocera,othclad,Cladocera Undifferentiated
Undifferentiated,Daphnia,daphnia,Daphnia Undifferentiated
Undifferentiated,Diaphanosoma,othclad,Diaphanosoma Undifferentiated
Undifferentiated,Disparalona,othclad,Disparalona Undifferentiated
Undifferentiated,Eurycercus,othclad,Eurycercus Undifferentiated
Undifferentiated,Graptoleberis,othclad,Graptoleberis Undifferentiated
Undifferentiated,Ilyocryptus,othclad,Ilyocryptus Undifferentiated
Undifferentiated,Kurzia,othclad,Kurzia Undifferentiated
Undifferentiated,Leydigia,othclad,Leydigia Undifferentiated
Undifferentiated,Macrothricidae,othclad,Macrothricidae Undifferentiated
Undifferentiated,Moina,othclad,Moina Undifferentiated
Undifferentiated,Monospilus,othclad,Monospilus Undifferentiated
Undifferentiated,Picripleuroxus,othclad,Picripleuroxus Undifferentiated
Undifferentiated,Pleuroxus,othclad,Pleuroxus Undifferentiated
