region,year,month,IBMR,sal_base_median,sal_base_l95,sal_base_u95,sal_fallX2_hi_median,sal_fallX2_hi_l95,sal_fallX2_hi_u95,sal_fallX2_low_median,sal_fallX2_low_l95,sal_fallX2_low_u95,sal_sumX2_hi_median,sal_sumX2_hi_l95,sal_sumX2_hi_u95,sal_sumX2_low_median,sal_sumX2_low_l95,sal_sumX2_low_u95,sal_SMSCG_median,sal_SMSCG_l95,sal_SMSCG_u95,sal_sumX2_WAN_low_median,sal_sumX2_WAN_low_l95,sal_sumX2_WAN_low_u95,sal_sumX2_WAN_1_median,sal_sumX2_WAN_1_l95,sal_sumX2_WAN_1_u95,sal_sumX2_WAN_2_median,sal_sumX2_WAN_2_l95,sal_sumX2_WAN_2_u95,sal_sumX2_WAN_3_median,sal_sumX2_WAN_3_l95,sal_sumX2_WAN_3_u95,sal_sumX2_WAN_high_median,sal_sumX2_WAN_high_l95,sal_sumX2_WAN_high_u95,sal_fallX2_WAN_low_median,sal_fallX2_WAN_low_l95,sal_fallX2_WAN_low_u95,sal_fallX2_WAN_1_median,sal_fallX2_WAN_1_l95,sal_fallX2_WAN_1_u95,sal_fallX2_WAN_2_median,sal_fallX2_WAN_2_l95,sal_fallX2_WAN_2_u95,sal_fallX2_WAN_3_median,sal_fallX2_WAN_3_l95,sal_fallX2_WAN_3_u95,sal_fallX2_WAN_high_median,sal_fallX2_WAN_high_l95,sal_fallX2_WAN_high_u95
Confluence,1995,1,acartela,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Confluence,1995,1,allcopnaup,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Confluence,1995,1,daphnia,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Confluence,1995,1,eurytem,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Confluence,1995,1,limno,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Confluence,1995,1,mysid,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Confluence,1995,1,othcalad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Confluence,1995,1,othcaljuv,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Confluence,1995,1,othclad,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Confluence,1995,1,othcyc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Confluence,1995,1,other,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Confluence,1995,1,pdiapfor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Confluence,1995,2,acartela,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Confluence,1995,2,allcopnaup,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
