Year,Season,Temperature,Secchi,Salinity
1975,Fall,15.928541310722938,44.55880640708831,0.8682504460796832
1976,Fall,NA,NA,NA
1977,Fall,18.03463692394871,63.479164507738574,6.337315893482685
1978,Fall,16.96389945667822,43.08283328191743,2.064414954977125
1979,Fall,17.652333675096834,52.51383597883598,3.451592610963346
1980,Fall,17.237088961689306,49.134588526974916,2.2596521924795843
1981,Fall,17.990469865837863,51.60541150338686,4.1751620244736
1982,Fall,16.3414764150204,45.52983751493568,0.6063977405251921
1983,Fall,17.67535189245226,55.0377998828024,0.2974260486656058
1984,Fall,17.078038870768445,50.29491714846204,1.6144601485203867
1985,Fall,16.635700230668885,73.24419896429107,4.151998737757719
1986,Fall,16.97147400220628,47.667257677056796,1.9642440463563682
1987,Fall,18.332346868698053,64.24986217058886,4.602465891772766
1988,Fall,17.753360734892482,63.717466862096224,3.9587592363300974
1989,Fall,17.861859835156746,61.413004109180584,3.2460062165322334
1990,Fall,18.078839264083165,73.84905010959788,4.412218022054485
1991,Fall,18.93255254618554,70.49793499314599,4.441692658364125
1992,Fall,19.532091892069122,69.90715797375316,4.58515373398715
1993,Fall,18.004633150066674,68.57414354343182,2.664090312819433
1994,Fall,16.54855119154859,72.02234733149764,3.7560521585882696
1995,Fall,17.763525691808702,63.21949541178234,1.5110725380497638
1996,Fall,17.18111584057479,69.23719807560892,3.042084229876494
1997,Fall,18.31388590108836,68.42285418927752,3.1796896921426687
1998,Fall,16.754003952072562,53.01309477070254,1.10180060968594
1999,Fall,17.88518117784809,63.05555096460931,3.1386178524708512
2000,Fall,17.024254314227775,68.4863174595682,3.4056534732612107
2001,Fall,18.52579889582785,60.704060392623525,4.525252864041498
2002,Fall,18.030239151102972,72.87440251607228,3.90507955706698
2003,Fall,17.999107267102442,67.46578541632454,3.429850160046087
2004,Fall,17.67424601539989,78.23962827555988,3.636456055514429
2005,Fall,17.545148737966326,72.45631058929487,3.169503968280644
2006,Fall,17.140603314544613,72.38752605053435,3.0139188407364883
2007,Fall,17.410271426057573,84.38891007576271,4.033469530058329
2008,Fall,17.826393761513003,86.282015794268,4.383043646476641
2009,Fall,17.616529021732195,99.9520187711941,3.985043269450622
2010,Fall,18.163356474155375,96.93763477267854,3.5342019494657757
2011,Fall,17.203319245908457,84.83450925892518,1.8629399872518841
2012,Fall,18.059392850721252,105.15292146466973,3.796040413085196
2013,Fall,17.819855668821127,100.02008005713029,4.206455341259055
2014,Fall,19.509632051092257,112.70510879008295,4.899406816854782
2015,Fall,19.020293607292786,120.9287987067069,4.883164613266392
2016,Fall,18.219662452907947,99.47754411984903,4.0024835857201335
2017,Fall,17.833996621127664,89.21132641180766,2.5064666167311804
2018,Fall,17.83162244214685,126.74910635476812,3.860205136607267
2019,Fall,17.642670782391672,95.38872622917832,2.345867499698345
2020,Fall,18.373386391422713,132.065180446665,4.474614928202605
2021,Fall,NA,NA,NA
1975,Spring,NA,NA,NA
1976,Spring,NA,NA,NA
1977,Spring,NA,NA,NA
1978,Spring,15.439493879158023,26.94081428078158,0.37477110086415244
1979,Spring,15.581684967324302,34.62632275620811,0.7749935687071475
1980,Spring,15.15425399527397,37.45204453048228,0.4795659568986982
1981,Spring,16.953958706405697,37.43118757118221,1.6071009439337312
1982,Spring,14.518429059260797,35.63547052923677,0.20883685127474727
1983,Spring,13.715051494614611,28.486268873215035,0.13024229306856283
1984,Spring,15.807000117443781,44.728359799003044,0.7773214300108482
1985,Spring,15.931264801351137,58.65986776817172,2.120924680561016
1986,Spring,16.476936919449734,33.38907769544364,0.5280239380311839
1987,Spring,16.96154847185179,51.80628415149032,1.8823998068676078
1988,Spring,16.89491756771978,53.632005108064206,3.013684739707793
1989,Spring,16.477897743647883,44.25660180048292,1.5291473957512118
1990,Spring,16.792779783793986,55.04473154123265,3.454897306366316
1991,Spring,14.64615631529416,42.4399257127862,2.497131337477352
1992,Spring,17.63099257041176,45.789366733652514,2.1137869142209325
1993,Spring,16.106509174796482,42.21304891592508,0.4439220576127591
1994,Spring,16.463367232285194,57.887966781061785,1.3433759951333533
1995,Spring,14.634925002783818,36.00757642246874,0.305628766496045
1996,Spring,15.559700490270329,42.971811121591394,0.3739053312098519
1997,Spring,16.356696694381814,41.624301706713304,1.0054298833707696
1998,Spring,14.320222780740016,35.1885786007984,0.2801225136113062
1999,Spring,13.966658825052779,39.43906111702505,0.4084286285606365
2000,Spring,15.667886042304964,44.212765957768156,0.5086157325660945
2001,Spring,16.32627880399506,41.31186000612261,1.3105856886853129
2002,Spring,15.522204351555436,50.90297404702454,1.3307177295482204
2003,Spring,15.928553495968375,50.117859988134946,0.7186469451468563
2004,Spring,17.201150409020734,43.6197686857573,0.8295384052220474
2005,Spring,16.161053226629395,49.58944128822449,0.4634596787794447
2006,Spring,14.453483458251831,42.84649080296217,0.17764541389241903
2007,Spring,16.3677369101566,57.4401365715766,1.2790146655711518
2008,Spring,15.819963998247879,57.03101103840251,1.7621688356738654
2009,Spring,16.208010456425377,56.84901821513588,1.1674583722842093
2010,Spring,14.714883879027402,51.45843092481871,0.8378133451799592
2011,Spring,14.305981129945623,55.38727725303697,0.28269432565124714
2012,Spring,15.792927040751557,55.4634897136101,1.1388483268885559
2013,Spring,17.090478145667767,67.34329429362391,2.2164777493547607
2014,Spring,17.02255035680185,62.61093147378974,2.304902746344366
2015,Spring,17.573692768189208,74.84847731933242,3.2153466722847988
2016,Spring,16.713171712688563,69.80838056906371,1.140936519847475
2017,Spring,15.159202818527927,NA,0.24160665765457745
2018,Spring,15.121337947280296,NA,0.9819168757141805
2019,Spring,15.089468657957813,NA,0.21984738983697344
2020,Spring,16.249438455564313,NA,2.352767415628089
2021,Spring,NA,NA,NA
1975,Summer,21.057154628122657,36.17159655501868,0.8356952075440168
1976,Summer,21.735774292339144,48.67333767103965,3.883383519488786
1977,Summer,22.162195289346833,61.16561359535769,6.259457568592755
1978,Summer,21.790668194610692,37.57336868415976,2.6096594203175356
1979,Summer,21.962557197680532,40.25276256387697,2.586545170633122
1980,Summer,20.832437803559834,39.26255302766188,1.115266102936008
1981,Summer,22.294464768104216,45.27845920429125,3.505175888992476
1982,Summer,21.00319682974704,38.14828844938322,0.6932326812714571
1983,Summer,20.839227482682738,39.16866358561538,0.19900659169018994
1984,Summer,22.498227197195245,47.998686968931295,2.0612118595120563
1985,Summer,21.99910162943347,52.016851187337586,3.203536878622309
1986,Summer,21.327712311038052,36.5877660096463,1.87549969905162
1987,Summer,21.579906828542054,43.567301447352136,3.7822426829909053
1988,Summer,21.71153496650943,48.76308358620372,3.8531902982408366
1989,Summer,21.317748447040724,45.96983667626869,2.769773838772051
1990,Summer,22.19085930293299,54.244688730146436,3.1574270067543964
1991,Summer,21.278615539409305,50.43515225447374,3.9954651926926257
1992,Summer,22.113461255077016,58.98777822773195,4.249991962148949
1993,Summer,21.288211065289833,45.90783422746064,1.0228914730808414
1994,Summer,22.0165512559244,61.998494935532435,3.3839276445079673
1995,Summer,20.519219910568104,48.820903070611514,0.41433784022621994
1996,Summer,21.69884791257647,53.64337630359807,1.4301733963927392
1997,Summer,21.765628496576273,49.03304308166607,2.3321982897369753
1998,Summer,20.89921931223963,39.534932568731904,0.3819048925335247
1999,Summer,20.513240348360288,44.35275135937523,1.2682592886307968
2000,Summer,21.270525490208836,51.312916092445725,1.9452773669510621
2001,Summer,21.765062909503772,48.389237880676774,3.1628370003242305
2002,Summer,22.04314306019275,53.549153439423286,2.9030155807729496
2003,Summer,21.947498062289238,50.467972034791195,1.3833267974281482
2004,Summer,21.689193855721353,56.035735689174984,2.76825044193475
2005,Summer,21.28645942923332,51.86491730107434,1.2350164186134582
2006,Summer,21.89797270918113,51.96794017180904,1.0338058291830825
2007,Summer,21.784086167740234,62.17510270829709,2.675400204460208
2008,Summer,21.864578736668705,56.30282521058736,3.6377414812179536
2009,Summer,21.214532672426028,62.971582345453115,2.746243032660788
2010,Summer,20.628596988520936,61.21350945495089,1.669947830538647
2011,Summer,20.170857549174098,62.98201945829854,0.6398618469617745
2012,Summer,21.465429992117038,67.81731288198395,2.537440086319477
2013,Summer,21.820608267328016,65.85460517867945,3.0090853270687687
2014,Summer,22.376437069986043,75.49867986830033,4.6966228405682875
2015,Summer,22.58966179586399,80.67291271555882,5.065096926638927
2016,Summer,21.859719860277618,76.16741642606627,2.867798474514201
2017,Summer,21.33956980091931,NA,1.20045239713271
2018,Summer,21.765680267764992,NA,2.634379130762116
2019,Summer,21.673665217110585,NA,1.2500009351586563
2020,Summer,22.44687602587135,NA,3.427789570788355
2021,Summer,NA,NA,NA
1975,Winter,NA,NA,NA
1976,Winter,9.807679012345679,60.669506172839505,1.7993180452676945
1977,Winter,NA,NA,NA
1978,Winter,11.49526654138282,34.263747050131926,2.6526842232472956
1979,Winter,9.489075014231455,36.28233465608466,1.3657029030845396
1980,Winter,10.333512292951463,35.68242693880702,1.057609217417035
1981,Winter,10.223332243307246,40.2270265574242,2.0750580834628476
1982,Winter,9.187017124584527,36.0783503630872,0.5222967235029646
1983,Winter,9.7261503068082,27.674756817256817,0.1925201832566838
1984,Winter,9.927849259462162,40.786714226633585,0.26139317029011355
1985,Winter,9.159738111208698,51.51322662322662,1.228261758668986
1986,Winter,10.392119728615086,52.42479825979826,2.2168822701115016
1987,Winter,9.941574631021998,57.76257240638046,2.651619656839946
1988,Winter,10.238959946371711,55.83783334157569,3.230392525206113
1989,Winter,9.022161344537816,60.39065710151917,3.832994764020927
1990,Winter,10.121852031619998,57.95634176222191,3.031649583820576
1991,Winter,9.41862667642313,74.28260383953757,4.4147926050304385
1992,Winter,9.520543148970809,79.93383038258038,3.5257703841981085
1993,Winter,9.752035809668476,37.5623101736603,2.20112746811597
1994,Winter,9.862516037611558,66.18640809754002,2.5229982094275702
1995,Winter,10.107781747990803,38.11081984540979,1.9154749446339712
1996,Winter,11.83044646723806,44.170957336704745,0.9722496044474696
1997,Winter,11.28103057065762,26.930218448154005,0.6622878207050552
1998,Winter,10.459740136523317,37.58414182242252,1.257768327348156
1999,Winter,8.829851760924047,41.50902405100365,0.5891043144082708
2000,Winter,10.620933951621897,54.16465072012945,1.7880428969134818
2001,Winter,9.690268707891887,56.56739505998411,3.060299829102963
2002,Winter,10.345811956452504,36.83284654769367,1.2398750915684702
2003,Winter,11.130022042701249,54.525233918530375,1.6974593012608563
2004,Winter,10.70903841796492,43.84975233108093,1.8707878935205986
2005,Winter,10.627684260127603,47.00520191765777,1.9143086217457521
2006,Winter,10.836146847396362,48.841482518768444,1.2882926288372287
2007,Winter,9.68768576713724,63.291834914788446,2.75909232473839
2008,Winter,9.493156339230346,43.09179982194051,1.9637891252421107
2009,Winter,9.942768874944953,75.49788307006702,4.0481694362392835
