SampleID,Station,SalSurf,Date,Year,IBMR,BPUE,SubRegion,doy,Year_fac,Station_fac,BPUE_log1p
20mm 606 1995-04-27 1,606,0.33011179694952236,1995-04-27T07:00:00Z,1995,acartela,0,Suisun Marsh,117,1995,606,0
20mm 606 1995-04-27 1,606,0.33011179694952236,1995-04-27T07:00:00Z,1995,daphnia,0,Suisun Marsh,117,1995,606,0
20mm 606 1995-04-27 1,606,0.33011179694952236,1995-04-27T07:00:00Z,1995,eurytem,1400.921546347887,Suisun Marsh,117,1995,606,7.245599107646415
20mm 606 1995-04-27 1,606,0.33011179694952236,1995-04-27T07:00:00Z,1995,othcalad,1584.538604038223,Suisun Marsh,117,1995,606,7.368679441861254
20mm 606 1995-04-27 1,606,0.33011179694952236,1995-04-27T07:00:00Z,1995,othcaljuv,1845.4558895552118,Suisun Marsh,117,1995,606,7.521023345328812
20mm 606 1995-04-27 1,606,0.33011179694952236,1995-04-27T07:00:00Z,1995,othclad,27.855937955550363,Suisun Marsh,117,1995,606,3.362315793458587
20mm 606 1995-04-27 1,606,0.33011179694952236,1995-04-27T07:00:00Z,1995,pdiapfor,741.5250683767507,Suisun Marsh,117,1995,606,6.6100566322304966
20mm 606 1995-05-11 1,606,0.1750039089136414,1995-05-11T07:00:00Z,1995,acartela,0,Suisun Marsh,131,1995,606,0
20mm 606 1995-05-11 1,606,0.1750039089136414,1995-05-11T07:00:00Z,1995,daphnia,237.241149396511,Suisun Marsh,131,1995,606,5.473283393456091
20mm 606 1995-05-11 1,606,0.1750039089136414,1995-05-11T07:00:00Z,1995,eurytem,2737.1697611622453,Suisun Marsh,131,1995,606,7.9150450058117645
20mm 606 1995-05-11 1,606,0.1750039089136414,1995-05-11T07:00:00Z,1995,othcalad,2125.473112587016,Suisun Marsh,131,1995,606,7.662220070638684
20mm 606 1995-05-11 1,606,0.1750039089136414,1995-05-11T07:00:00Z,1995,othcaljuv,4136.89254260166,Suisun Marsh,131,1995,606,8.327941889529844
20mm 606 1995-05-11 1,606,0.1750039089136414,1995-05-11T07:00:00Z,1995,othclad,177.93086204738324,Suisun Marsh,131,1995,606,5.186999485683386
20mm 606 1995-05-11 1,606,0.1750039089136414,1995-05-11T07:00:00Z,1995,pdiapfor,4262.867592931208,Suisun Marsh,131,1995,606,8.357931913049102
20mm 606 1995-05-25 1,606,0.2980621170864181,1995-05-25T07:00:00Z,1995,acartela,0,Suisun Marsh,145,1995,606,0
20mm 606 1995-05-25 1,606,0.2980621170864181,1995-05-25T07:00:00Z,1995,daphnia,0,Suisun Marsh,145,1995,606,0
20mm 606 1995-05-25 1,606,0.2980621170864181,1995-05-25T07:00:00Z,1995,eurytem,5302.1028199957655,Suisun Marsh,145,1995,606,8.576047365973446
20mm 606 1995-05-25 1,606,0.2980621170864181,1995-05-25T07:00:00Z,1995,othcalad,2414.5988483589317,Suisun Marsh,145,1995,606,7.789702505682072
20mm 606 1995-05-25 1,606,0.2980621170864181,1995-05-25T07:00:00Z,1995,othcaljuv,7428.446500957745,Suisun Marsh,145,1995,606,8.913206639776437
20mm 606 1995-05-25 1,606,0.2980621170864181,1995-05-25T07:00:00Z,1995,othclad,94.3294793772412,Suisun Marsh,145,1995,606,4.557339095221731
20mm 606 1995-05-25 1,606,0.2980621170864181,1995-05-25T07:00:00Z,1995,pdiapfor,5231.355710462835,Suisun Marsh,145,1995,606,8.562616878299774
20mm 606 1995-06-08 1,606,0.24484453361647637,1995-06-08T07:00:00Z,1995,acartela,0,Suisun Marsh,159,1995,606,0
20mm 606 1995-06-08 1,606,0.24484453361647637,1995-06-08T07:00:00Z,1995,daphnia,0,Suisun Marsh,159,1995,606,0
